ADDRESS,CITY,NAME,PHONE,REVENUE,STATE
60 HOSPITAL ROAD,LEOMINSTER,HEALTHALLIANCE HOSPITALS  INC,9784662000,0,MA
330 MOUNT AUBURN STREET,CAMBRIDGE,MOUNT AUBURN HOSPITAL,6174923500,0,MA
211 PARK STREET,ATTLEBORO,STURDY MEMORIAL HOSPITAL,5082225200,0,MA
ONE GENERAL STREET,LAWRENCE,LAWRENCE GENERAL HOSPITAL,9786834000,0,MA
1493 CAMBRIDGE STREET,CAMBRIDGE,CAMBRIDGE HEALTH ALLIANCE,6176652300,0,MA
88 LEWIS BAY ROAD,HYANNIS,CAPE COD HOSPITAL,5087711800,0,MA
30 LOCUST STREET,NORTHAMPTON,COOLEY DICKINSON HOSPITAL INC THE,4135822000,0,MA
164 HIGH STREET,GREENFIELD,BAYSTATE FRANKLIN MEDICAL CENTER,4137730211,0,MA
2100 DORCHESTER AVENUE,BOSTON,CARNEY HOSPITAL,6175062000,0,MA
100 SOUTH STREET,SOUTHBRIDGE,HARRINGTON MEMORIAL HOSPITAL-1,5087659771,0,MA
795 MIDDLE STREET,FALL RIVER,SAINT ANNE'S HOSPITAL,5086745600,0,MA
575 BEECH STREET,HOLYOKE,HOLYOKE MEDICAL CENTER,4135342500,0,MA
25 HIGHLAND AVENUE,NEWBURYPORT,ANNA JAQUES HOSPITAL,9784631000,0,MA
40 WRIGHT STREET,PALMER,BAYSTATE WING HOSPITAL AND MEDICAL CENTERS,4132837651,0,MA
1 BOSTON MEDICAL CENTER PLACE,BOSTON,BOSTON MEDICAL CENTER CORPORATION-,6176388000,0,MA
85 HERRICK STREET,BEVERLY,BEVERLY HOSPITAL CORPORATION,9789223000,0,MA
81 HIGHLAND AVENUE,SALEM,NORTH SHORE MEDICAL CENTER -,9787411215,0,MA
736 CAMBRIDGE STREET,BRIGHTON,ST ELIZABETH'S MEDICAL CENTER,6177893000,0,MA
725 NORTH STREET,PITTSFIELD,BERKSHIRE MEDICAL CENTER INC - 1,4134472000,0,MA
157 UNION STREET,MARLBOROUGH,MARLBOROUGH HOSPITAL,5084815000,0,MA
680 CENTER STREET,BROCKTON,SIGNATURE HEALTHCARE BROCKTON HOSPITAL,5089417000,0,MA
201 HIGHLAND STREET,CLINTON,CLINTON HOSPITAL ASSOCIATION,9783683000,0,MA
275 SANDWICH STREET,PLYMOUTH,BETH ISRAEL DEACONESS HOSPITAL - PLYMOUTH,5087462000,0,MA
107 LINCOLN STREET,WORCESTER,ADCARE HOSPITAL OF WORCESTER INC,5087999000,0,MA
295 VARNUM AVENUE,LOWELL,LOWELL GENERAL HOSPITAL,9789376000,0,MA
115 WEST SILVER STREET,WESTFIELD,NOBLE HOSPITAL,4135682811,0,MA
271 CAREW STREET,SPRINGFIELD,MERCY MEDICAL CTR,4137489000,0,MA
585 LEBANON STREET,MELROSE,HALLMARK HEALTH SYSTEM,7819793000,0,MA
55 FRUIT STREET,BOSTON,MASSACHUSETTS GENERAL HOSPITAL,6177262000,0,MA
88 WASHINGTON STREET,TAUNTON,MORTON HOSPITAL,5088287000,0,MA
363 HIGHLAND AVENUE,FALL RIVER,SOUTHCOAST HOSPITAL GROUP  INC,5086793131,0,MA
243 CHARLES STREET,BOSTON,MASSACHUSETTS EYE AND EAR INFIRMARY -,6175237900,0,MA
759 CHESTNUT STREET,SPRINGFIELD,BAYSTATE MEDICAL CENTER,4137940000,0,MA
70 EAST STREET,METHUEN,HOLY FAMILY HOSPITAL,9786870156,0,MA
148 CHESTNUT STREET,NEEDHAM,BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,7814533002,0,MA
133 OLD ROAD TO 9 ACRE CORNER,W CONCORD,EMERSON HOSPITAL -,9783691400,0,MA
330 BROOKLINE AVENUE,BOSTON,BETH ISRAEL DEACONESS MEDICAL CENTER,6176677000,0,MA
125 PARKER HILL AVENUE,BOSTON,NEW ENGLAND BAPTIST HOSPITAL,6177545800,0,MA
14 PROSPECT STREET,MILFORD,MILFORD REGIONAL MEDICAL CENTER,5084731190,0,MA
242 GREEN STREET,GARDNER,HEYWOOD HOSPITAL -,9786323420,0,MA
200 GROTON ROAD,AYER,NASHOBA VALLEY MEDICAL CENTER,9787849000,0,MA
55 FOGG ROAD,SOUTH WEYMOUTH,SOUTH SHORE HOSPITAL,7813408000,0,MA
2014 WASHINGTON STREET,NEWTON,NEWTON-WELLESLEY HOSPITAL,6172436000,0,MA
41 HIGHLAND AVENUE,WINCHESTER,WINCHESTER HOSPITAL,7817299000,0,MA
199 REEDSDALE ROAD,MILTON,BETH ISRAEL DEACONESS HOSPITAL-MILTON INC,6176964600,0,MA
75 FRANCIS STREET,BOSTON,BRIGHAM AND WOMEN'S HOSPITAL,6177325500,0,MA
235 NORTH PEARL STREET,BROCKTON,GOOD SAMARITAN MEDICAL CENTER,5084273000,0,MA
800 WASHINGTON STREET,BOSTON,TUFTS MEDICAL CENTER,6176365000,0,MA
1153 CENTRE STREET,BOSTON,BRIGHAM AND WOMEN'S FAULKNER HOSPITAL,6179837000,0,MA
800 WASHINGTON STREET,NORWOOD,NORWOOD HOSPITAL,5087721000,0,MA
67 & 100 TER HEUN DRIVE,FALMOUTH,FALMOUTH HOSPITAL,5085485300,0,MA
55 LAKE AVENUE NORTH,WORCESTER,UMASS MEMORIAL MEDICAL CENTER INC,5083341000,0,MA
41 & 45 MALL ROAD,BURLINGTON,LAHEY HOSPITAL & MEDICAL CENTER  BURLINGTON,7817445100,0,MA
115 LINCOLN STREET,FRAMINGHAM,METROWEST MEDICAL CENTER,5083831000,0,MA
123 SUMMER STREET,WORCESTER,ST VINCENT HOSPITAL,5083635000,0,MA
57 PROSPECT STREET,NANTUCKET,NANTUCKET COTTAGE HOSPITAL,5082281200,0,MA
ONE HOSPITAL ROAD  FIRST FL  WING 5   PO BOX 1477,OAK BLUFFS,MARTHA'S VINEYARD HOSPITAL INC,5086930410,0,MA
29 LEWIS AVENUE,GREAT BARRINGTON,FAIRVIEW HOSPITAL,4135280790,0,MA
2033 MAIN STREET,ATHOL,ATHOL MEMORIAL HOSPITAL,9782493511,0,MA
30 WARREN STREET,BRIGHTON,FRANCISCAN CHILDREN'S HOSPITAL & REHAB CENTER,6172543800,0,MA
300 LONGWOOD AVENUE,BOSTON,BOSTON CHILDREN'S HOSPITAL,6177356000,0,MA
516 CAREW STREET,SPRINGFIELD,SHRINERS' HOSPITAL FOR CHILDREN (THE),4137872000,0,MA
51 BLOSSOM STREET,BOSTON,SHRINERS' HOSPITAL FOR CHILDREN - BOSTON  THE,6177223000,0,MA
